Customer Business Plan: Plan #,Customer Account: Account Name,Customer Account: Zip/Postal Code,Customer Account: Address 1,Customer Account: D&B Address line 1,Customer Business Plan: Created Date,Created Quarter,Customer Business Plan: Last Modified Date,Year,Plan Status,Was the plan originally Approved?,Customer Account: Is Direct Reseller,Customer Account: Is Direct Service Provider,Customer Account: Is Distributor Account,Customer Account: Is Aggregator,Customer Account: Is Services Only,Customer Account: Is Cloud,Customer Account: Is Resell,Customer Account: Is Subscriptions Eligible,Customer Account: Cloud Eligible,Customer Account: Cloud Activated,Define Customer’s marketing capability,Define Customer’s pre-sales scalability,Customer Account: Managed Customer,Managed Customer,Plan End Date,Executive Sponspor Present  Present,Quarter,Region,Geo,Skip Customer Approval,Total # of Employees,KPI Compliant,KPI Compliant Failure Reason,Place Country
CP-0000037961,ABC123,100000,"Số nhà 17E, Tổ 12A, Phường Thượng Đình, Quận Thanh Xuân, TP. Hà Nội","Số Nhà 17E, Tổ 12A, Phường Thượng Đình, Quận Thanh Xuân, Tp. Hà Nội",11/03/2022,Q1,13/04/2022,2023,Submitted to Customer,0,0,0,0,0,0,0,1,1,0,0,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,40,1,,VIETNAM
CP-0000037955,ABC300,84,"22nd Floor, Keangnam Landmark 72 Tower E6,,",E6 Pham Hung Street,11/03/2022,Q1,13/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,0,0,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,4 Customer pre-­sales is currently scaling up,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,2510,1,,VIETNAM
CP-0000038896,ABC432,700000,"Tuoi Tre Tower, No. 60A, Hoang Van Thu St","Tuoi Tre Tower, No. 60A, Hoang Van Thu St., Ward 9, Phu Nhuan Dist.",31/03/2022,Q1,21/08/2022,2023,Approved,1,0,0,1,0,0,0,0,1,0,1,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,91,0,Goals and Objectives- Min. 1 Goal Required,VIETNAM
CP-0000037959,ABC472,10000,"18A - Cong Hoa Street, Ward 12, Tan Binh District",15 Duy Tan Dich Vong Hau,11/03/2022,Q1,29/04/2022,2023,Approved,1,0,0,0,0,0,0,1,0,0,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,3 Customer pre-­sales could scale up and there is a strong desire to do so,No,0,03/02/2023,0,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,80,1,,VIETNAM
CP-0000026118,ABC555,0,"2nd floor, 2B1 Dam Trau, Bach Dang Ward,","7 A2 Dam Trau, Bach Dang Ward Hai Ba Trung",20/04/2021,Q2,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,0,0,0,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,150,0,Goals and Objectives- Min. 1 Goal Required; Planner- Incomplete Planned Total FY >1,VIETNAM
CP-0000026046,ABC683,84,"22nd Floor, Keangnam Landmark 72 Tower E6,,",E6 Pham Hung Street,14/04/2021,Q2,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,1,0,0,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,4 Customer pre-­sales is currently scaling up,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,2510,1,,VIETNAM
CP-0000026048,ABC734,700000,"2A Phan Thuc Duyen Street, Ward 4,","2A Phan Thuc Duyen Street, Ward 4, Tan Binh District, Ho Chi Minh City",14/04/2021,Q2,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,1,1,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,5 Customer pre-­sales is already very scalable,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,110,1,,VIETNAM
CP-0000024101,ABC1038,700000,"Tuoi Tre Tower, No. 60A, Hoang Van Thu St","Tuoi Tre Tower, No. 60A, Hoang Van Thu St., Ward 9, Phu Nhuan Dist.",16/12/2020,Q4,21/08/2022,2022,Draft,0,0,0,1,0,0,0,0,1,0,1,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,28/01/2022,0,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,91,0,,VIETNAM
CP-0000037956,ABC1052,100000,"Floor 16, CMC Tower, Duy Tan Street",Duy Tan Street,11/03/2022,Q1,29/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,4 Customer pre-­sales is currently scaling up,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,788,1,,VIETNAM
CP-0000026047,ABC1074,10000,"18A - Cong Hoa Street, Ward 12, Tan Binh District",15 Duy Tan Dich Vong Hau,14/04/2021,Q2,02/03/2022,2022,Submitted to Customer,0,0,0,0,0,0,0,1,0,0,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,3 Customer pre-­sales could scale up and there is a strong desire to do so,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,80,1,,VIETNAM
